#scientific name	type materials and coidentical strains	has sequences from type material?	number of assemblies per taxon	number of assemblies from type materials per taxon	number of assemblies from type materials per species
Brevibacterium ravenspurgense	5401308 [[Brevibacterium massiliense]],CCUG 53855 [[Brevibacterium massiliense]],CCUG 56047,CCUG:53855 [[Brevibacterium massiliense]],CCUG:56047,CIP 109422 [[Brevibacterium massiliense]],CIP:109422 [[Brevibacterium massiliense]],CSUR:P26 [[Brevibacterium massiliense]],DSM 21258,DSM 23039 [[Brevibacterium massiliense]],DSM:21258,DSM:23039 [[Brevibacterium massiliense]],JCM 18108 [[Brevibacterium massiliense]],JCM:18108 [[Brevibacterium massiliense]],culture-collection:CSUR P26 [[Brevibacterium massiliense]]	yes	5	3	3
Brevibacterium salitolerans	CCTCC AB 208328,CCTCC:AB 208328,JCM 15900,JCM:15900,KCTC 19616,KCTC:19616,TRM 415,culture-collection:CCTCC:AB:208328	yes	0	0	0
Brevibacterium samyangense	JCM 14546,JCM:14546,KCCM 42316,KCCM:42316,NRRL B-41420,NRRL:B-41420,SST-8,culture-collection:NRRL:B:41420	yes	0	0	0
Brevibacterium sandarakinum	01-Je-003,CCM 7649,CCM:7649,DSM 22082,DSM:22082	yes	1	1	1
Brevibacterium sanguinis	CCUG 47857,CCUG:47857,CF63,DSM 15677,DSM:15677,JCM 13386,JCM:13386	yes	1	0	0
Brevibacterium sediminis	CGMCC 1.15472,CGMCC:1.15472,DSM 102229,DSM:102229,FXJ8.269	yes	2	2	2
Brevibacterium senegalense	CSUR:P155,DSM 25783,DSM:25783,JC43,culture-collection:CSUR P155	yes	2	1	1
Brevibacterium siliguriense	BCCM/LMG:25772,DSM 23676,DSM:23676,LMG 25772,LMG:25772,MB18	yes	1	1	1
Brevibacterium yomogidense	DSM 24850,DSM:24850,JCM 17779,JCM:17779,MN-6-a	yes	1	0	0
Brevifollis gellanilyticus	CIP 110457,CIP:110457,DC2c-G4,NBRC 108608,NBRC:108608	yes	1	1	1
Brevilactibacter flavus	BCCM/LMG:29089,DSM 100885,DSM:100885,LMG 29089,LMG:29089,VG341,WS4900	yes	1	1	1
Brevilactibacter sinopodophylli	CCTCC AB 2015257,CCTCC:AB 2015257,CCTCC:AB:2015257,KCTC 33808,KCTC:33808,TEYR-7	yes	1	1	1
Brevinema andersonii	ATCC 43811,ATCC:43811,CT11616	yes	1	1	1
Brevirhabdus pacifica	22DY15,CGMCC 1.12416,CGMCC:1.12416,DSM 27767,DSM:27767,DY6-4 [[Xuhuaishuia manganoxidans]],JCM 19489,JCM:19489,KCTC 42421 [[Xuhuaishuia manganoxidans]],KCTC:42421 [[Xuhuaishuia manganoxidans]],MCCC 1K00276,MCCC 1K00502 [[Xuhuaishuia manganoxidans]],MCCC:1K00276,MCCC:1K00502 [[Xuhuaishuia manganoxidans]]	yes	3	3	3
Brevitalea aridisoli	Ac_11_E3,BCCM/LMG:28618,DSM 27934,DSM:27934,LMG 28618,LMG:28618	yes	0	0	0
Brevitalea deliciosa	Ac_16_C4,BCCM/LMG:28995,DSM 29892,DSM:29892,LMG 28995,LMG:28995	yes	0	0	0
Brevundimonas abyssalis	CECT 8073,CECT:8073,JCM 18150,JCM:18150,TAR-001	yes	1	1	1
Brevundimonas alba	ATCC 15265,ATCC:15265,BCCM/LMG:18360,CB88,CCUG 45019,CCUG:45019,DSM 4736,DSM:4736,LMG 18360,LMG:18360	yes	1	1	1
Brevundimonas albigilva	JCM 30385,JCM:30385,KACC 18249,KACC:18249,KEME 9005-016,KEME:9005-016,NHI-13	yes	0	0	0
Brevundimonas aurantiaca	ATCC 15266,ATCC:15266,CB-R,DSM 4731,DSM:4731	yes	5	1	1
Brevundimonas aveniformis	DSM 17977,DSM:17977,EMB102,KCTC 12609,KCTC:12609	yes	1	1	1
Brevundimonas bacteroides	ATCC 15254,ATCC:15254,BCCM/LMG:15096,CB 7,CCUG 45021,CCUG 48877,CCUG:45021,CCUG:48877,CIP 101031,CIP:101031,DSM 4726,DSM:4726,LMG 15096,LMG:15096,VKM B-1500,VKM:B-1500,culture-collection:VKM:B:1500	yes	1	1	1
Brevundimonas balnearis	DSM 29841,DSM:29841,FDRGB2b,NCAIM B.02621	yes	0	0	0
Brevundimonas basaltis	DSM 25335,DSM:25335,J22,JCM 15911,JCM:15911,KCTC 22177,KCTC:22177	yes	1	1	1
Brevundimonas bullata	ATCC 4278,ATCC:4278,BCCM/LMG:17157,DSM 7126,DSM:7126,HAMBI 262,HAMBI:262,IAM 13153,IAM:13153,JCM 20846,JCM:20846,LMG 17157,LMG:17157,NBRC 13290,NBRC:13290,NRRL B-1090,NRRL B-8016,NRRL:B-1090,NRRL:B-8016,TK0051,VKM Ac-910,VKM:Ac:910,culture-collection:NRRL:B:1090,culture-collection:NRRL:B:8016	yes	3	1	1
Brevundimonas canariensis	BCCM/LMG:29500,CECT 9126,CECT:9126,GTAE24,LMG 29500,LMG:29500	yes	0	0	0
Brevundimonas denitrificans	CECT 8537,CECT:8537,NBRC 110107,NBRC:110107,TAR-002	yes	1	1	1
Brevundimonas diminuta	AJ 2067,AJ:2067,AS 1.1798,ATCC 11568,ATCC:11568,BCCM/LMG:1793,BCCM/LMG:2088,BCCM/LMG:2089,BCRC 11894,BCRC:11894,CCEB 513,CCEB:513,CCRC 11894,CCRC:11894,CCUG 1187,CCUG 1256,CCUG 1427,CCUG:1187,CCUG:1256,CCUG:1427,CECT 317,CECT:317,CGMCC:1.1798,CIP 63.27,CIP:63.27,DSM 7234,DSM:7234,IAM 12691,IAM 1513,IAM:12691,IAM:1513,IFO 12697,IFO:12697,IMET 10409,IMET:10409,JCM 2788,JCM:2788,LMG 1793,LMG 2088,LMG 2089,LMG:1793,LMG:2088,LMG:2089,NBRC 12697,NBRC:12697,NCAIM B.01118,NCCB 76050,NCCB:76050,NCIB 9393,NCIMB 9393,NCIMB:9393,NCTC 8545,NCTC:8545,VKM B-1297,VKM:B-1297,culture-collection:AS:1.1798,culture-collection:VKM:B:1297	yes	15	2	2
Brevundimonas faecalis	CCUG 58127,CCUG:58127,CECT 7729,CECT:7729,CS20.3	yes	0	0	0
Brevundimonas fluminis	BCCM/LMG:30850,KACC 19639,KACC:19639,LA-55,LMG 30850,LMG:30850	yes	1	1	1
Brevundimonas halotolerans	BCCM/LMG:25346,CCUG 58273,CCUG:58273,DSM 24448,DSM:24448,LMG 25346,LMG:25346,MCS24	yes	2	2	2
Brevundimonas humi	CA-15,KACC 19106,KACC:19106,KEMB 9005-528,KEMB:9005-528,KEMC:9005-528,NBRC 112677,NBRC:112677	yes	0	0	0
Brevundimonas intermedia	ATCC 15262,ATCC:15262,CB63,CCUG 45022,CCUG:45022,CIP 106444,CIP:106444,DSM 4732,DSM:4732,VKM B-1499,VKM:B-1499,culture-collection:VKM:B:1499	yes	1	0	0
Brevundimonas kwangchunensis	DSM 17033,DSM:17033,KCTC 12380,KCTC:12380,KSL-102	yes	0	0	0
Brevundimonas lenta	DS-18,DSM 23960,DSM:23960,JCM 14602,JCM:14602,KCTC 12871,KCTC:12871	yes	1	1	1
Brevundimonas mediterranea	BCCM/LMG:21911,CIP 107934,CIP:107934,DSM 14878,DSM:14878,LMG 21911,LMG:21911,V4.BO.10	yes	4	1	1
Brevundimonas mongoliensis	JCM 32172,JCM:32172,KACC 19387,KACC:19387,KEMB 9005-696,KEMB:9005-696,KEMC:9005-696,R-10-10	yes	0	0	0
Brevundimonas naejangsanensis	BIO-TAS2-2,CCUG 57609,CCUG:57609,DSM 23858,DSM:23858,KCTC 22631,KCTC:22631	yes	13	1	1
Brevundimonas nasdae	DSM 14572,DSM:14572,GTC 1043,GTC:1043,JCM 11415,JCM:11415,W1-2B	yes	1	0	0
Brevundimonas olei	JCM 16237,JCM:16237,KCTC 22461,KCTC:22461,MJ15	yes	0	0	0
Brevundimonas poindexterae	BCCM/LMG:25261,CCUG 57883,CCUG:57883,FWC40,LMG 25261,LMG:25261	yes	0	0	0
Brevundimonas staleyi	BCCM/LMG:25262,CCUG 57884,CCUG:57884,FWC43,LMG 25262,LMG:25262	yes	0	0	0
Brevundimonas subvibrioides	ATCC 15264,ATCC:15264,BCCM/LMG:14903,CB81,CCUG 48879,CCUG:48879,CIP 106453,CIP:106453,DSM 4735,DSM:4735,IFO 16000,IFO:16000,LMG 14903,LMG:14903,NBRC 16000,NBRC:16000,VKM B-1503,VKM:B-1503,culture-collection:VKM:B:1503	yes	3	1	1
Brevundimonas terrae	DSM 17329,DSM:17329,JCM 13476,JCM:13476,KCTC 12481,KCTC:12481,KSL-145	yes	1	1	1
Brevundimonas vancanneytii	ATCC 14736,ATCC:14736,BCCM/LMG:2337,CCUG 1797,CCUG:1797,LMG 2337,LMG:2337	yes	1	0	0
Brevundimonas variabilis	ATCC 15255,ATCC:15255,CB17,CCUG 48882,CCUG:48882,CIP 106445,CIP:106445,DSM 4737,DSM:4737	yes	1	1	1
Brevundimonas vesicularis	ATCC 11426,ATCC:11426,BCCM/LMG:2350,BCRC 11012,BCRC:11012,CCM 3398,CCM:3398,CCRC 11012,CCRC:11012,CCUG 2032,CCUG 28332,CCUG 28333,CCUG:2032,CCUG:28332,CCUG:28333,CECT 327,CECT:327,CFBP 3032,CFBP:3032,CIP 101035,CIP:101035,DSM 7226,DSM 7233,DSM:7226,DSM:7233,IAM 12105,IAM:12105,IFO 12165,IFO:12165,JCM 1477,JCM:1477,LMG 2350,LMG:2350,NBRC 12165,NBRC:12165,NCCB 76049,NCCB:76049,NCIMB 1945,NCIMB:1945,NCTC 10900,NCTC:10900,VKM B-974,VKM:B-974,culture-collection:VKM:B:974	yes	5	1	1
Brevundimonas viscosa	CGMCC 1.10683,CGMCC:1.10683,F3,JCM 17426,JCM:17426	yes	1	1	1
Breznakia blatticola	DSM 28867,DSM:28867,ErySL,JCM 30190,JCM:30190	yes	1	1	1
Breznakia pachnodae	DSM 16784,DSM:16784,JCM 30191,JCM:30191,Pei061	yes	0	0	0
Breznakibacter xylanolyticus	ATCC 51429,ATCC:51429,DSM 6779,DSM:6779,XM3	yes	1	1	1
Brochothrix campestris	ATCC 43754,ATCC:43754,CIP 102920,CIP:102920,DSM 4712,DSM:4712,IFO 15547,IFO:15547,NBRC 15547,NBRC:15547,S3	yes	1	1	1
Brochothrix thermosphacta	ATCC 11509,ATCC:11509,BCCM/LMG:17208,CCUG 35132,CCUG:35132,CIP 103251,CIP:103251,DSM 20171,DSM:20171,HAMBI 1439,HAMBI:1439,IFO 12167,IFO:12167,JCM 20628,JCM:20628,LMG 17208,LMG:17208,NBRC 12167,NBRC:12167,NCDO 1676,NCDO:1676,NCIB 10018,NCIB:10018,NCIMB:10018,NCTC 10822,NCTC:10822	yes	26	3	3
Brockia lithotrophica	DSM 22653,DSM:22653,Kam1851,VKM B-2685,VKM:B-2685,culture-collection:VKM:B:2685	yes	3	1	1
Brooklawnia cerclae	BCCM/LMG:23248,BL-34,DSM 19609,DSM:19609,JCM 14918,JCM:14918,LMG 23248,LMG:23248,NRRL B-41418,NRRL:B-41418,culture-collection:NRRL:B:41418	yes	1	1	1
Brucella abortus	544,ATCC 23448,ATCC:23448,NCTC 10093,NCTC:10093	yes	258	3	3
Brucella canis	ATCC 23365,ATCC:23365,NCTC 10854,NCTC:10854,RM6/66	yes	29	2	2
Brucella ceti	B1/94,BCCN 94-74,BCCN:94-74,NCTC 12891,NCTC:12891	yes	10	2	2
Brucella inopinata	BCCN 09-01,BCCN:09-01,BO1,CAPM 6436,CAPM:6436	yes	3	1	1
Brucella intermedia	BCCM/LMG:3301,CCUG 24694,CCUG:24694,CIP 105838,CIP:105838,CNS 2-75,CNS:2-75,CNS&lt;AUS&gt;:2-75,DSM 17986,DSM:17986,IFO 15820,IFO:15820,LMG 3301,LMG:3301,NBRC 15820,NBRC:15820,NCTC 12171,NCTC:12171	yes	27	3	3
Brucella melitensis	16 M,16M,ATCC 23456,ATCC:23456,NCTC 10094,NCTC:10094	yes	356	4	4
Brucella microti	BCCN 07-01,BCCN:07-01,CAPM 6434,CAPM:6434,CCM 4915,CCM:4915	yes	2	1	1
Brucella neotomae	5 K 33,5K33,ATCC 23459,ATCC:23459,NCTC 10084,NCTC:10084	yes	6	4	4
Brucella ovis	63/290,ATCC 25840,ATCC:25840,NCTC 10512,NCTC:10512	yes	17	2	2
Brucella papionis	CIRMBP 0958,CIRMBP:0958,F8/08-60,NCTC 13660,NCTC:13660	yes	0	0	0
Brucella pinnipedialis	BCCN 94-73,BCCN:94-73,NCTC 12890,NCTC:12890	yes	5	0	0
Brucella suis	1330,ATCC 23444,ATCC:23444,NCTC 10316,NCTC:10316	yes	81	5	5
Brucella vulpis	BCCN 09-2,BCCN:09-2,DSM 101715,DSM:101715,F60	yes	0	0	0
Brumimicrobium aurantiacum	KCTC 42589,KCTC:42589,MCCC 1H00117,MCCC:1H00117,N62	yes	1	1	1
Brumimicrobium glaciale	ACAM 645,ACAM:645,BCCM/LMG:21434,CIP 107451,CIP:107451,IC156,LMG 21434,LMG:21434	yes	1	1	1
Brumimicrobium mesophilum	JCM 14063,JCM:14063,KCCM 42331,KCCM:42331,YH207	yes	1	1	1
Brumimicrobium salinarum	KCTC 62372,KCTC:62372,LHR20,MCCC 1H00247,MCCC:1H00247	yes	1	1	1
Bryobacter aggregatus	ATCC BAA-1390,ATCC:BAA-1390,DSM 18758,DSM:18758,MPL3,culture-collection:ATCC:BAA:1390	yes	1	1	1
Bryocella elongata	BCCM/LMG:25276,DSM 22489,DSM:22489,LMG 25276,LMG:25276,SN10	yes	1	1	1
Buchananella hordeovulneris	ATCC 35275,ATCC:35275,CCUG 32937,CCUG:32937,CIP 103149,CIP:103149,DSM 20732,DSM:20732,UCD 81-332-9,UCD:81-332-9	yes	3	1	1
Buchnera aphidicola	na	no	73	0	0
Budvicia aquatica	20186HG01,ATCC 35567,ATCC:35567,BCCM/LMG:8813,CIP 103240,CIP:103240,CNCTC 20186,CNCTC 350,CNCTC:20186,CNCTC:350,DSM 5075,DSM:5075,Eb 13/82,LMG 8813,LMG:8813,NCTC 12282,NCTC:12282	yes	3	2	2
Budvicia diplopodorum	CCM 7845,CCM:7845,D9,DSM 21983,DSM:21983	yes	1	1	1
Bulleidia extructa	ATCC BAA-170,ATCC:BAA-170,DSM 13220,DSM:13220,W 1219,culture-collection:ATCC:BAA:170	yes	1	1	1
Burkholderia alba	AD18,JCM 32403,JCM:32403,KCCM 43268,KCCM:43268	yes	0	0	0
Burkholderia ambifaria	AMMD,ATCC BAA-244,ATCC:BAA-244,BCCM/LMG:19182,CCUG 44356,CCUG:44356,DSM 16087,DSM:16087,LMG 19182,LMG:19182,culture-collection:ATCC:BAA:244	yes	71	2	2
Burkholderia anthina	BCCM/LMG:20980,CCUG 46047,CCUG:46047,LMG 20980,LMG:20980,W92B	yes	27	2	2
Burkholderia arboris	BCCM/LMG:24066,CCUG 54561,CCUG:54561,DSM 23435,DSM:23435,ES0263A,LMG 24066,LMG:24066,R-24201	yes	2	1	1
Burkholderia australis	Q208	yes	0	0	0
Burkholderia catarinensis	89,BR 10601,BR:10601,DSM 103188,DSM:103188	yes	1	1	1
Burkholderia cenocepacia	ATCC BAA-245,ATCC:BAA 245,ATCC:BAA:245,BCCM/LMG:16656,CCM 4899,CCM:4899,CCUG 48434,CCUG:48434,DSM 16553,DSM:16553,LMG 16656,LMG:16656,NCTC 13227,NCTC:13227	yes	338	1	1
Burkholderia cepacia	717-ICPB 25,ATCC 25416,ATCC:25416,BCCM/LMG:1222,Ballard 717,CCUG 12691,CCUG 13226,CCUG:12691,CCUG:13226,CFBP 2227,CFBP:2227,CIP 80.24,CIP:80.24,DSM 7288,DSM:7288,HAMBI 1976,HAMBI:1976,ICMP 5796,ICMP:5796,IFO 14074,IFO:14074,JCM 5964,JCM:5964,LMG 1222,LMG:1222,NBRC 14074,NBRC:14074,NCCB 76047,NCCB:76047,NCPPB 2993,NCPPB:2993,NCTC 10743,NCTC:10743,NRRL B-14810,NRRL:B-14810,culture-collection:NRRL:B:14810	yes	184	6	6
Burkholderia contaminans	BCCM/LMG:23361,CCUG 55526,CCUG:55526,J2956,LMG 23361,LMG:23361	yes	43	2	2
Burkholderia dabaoshanensis	CCTCC M 209109,CCTCC:M 209109,GIMN1.004,NRRL B-59553,NRRL:B-59553,culture-collection:CCTCC:M:209109,culture-collection:NRRL:B:59553	yes	1	1	1
Burkholderia diffusa	AU1075,BCCM/LMG:24065,CCUG 54558,CCUG:54558,DSM 23434,DSM:23434,LMG 24065,LMG:24065,R-15930	yes	18	2	2
Burkholderia dolosa	BCCM/LMG:18943,CCUG 47727,CCUG:47727,DSM 16088,DSM:16088,LMG 18943,LMG:18943	yes	6	1	1
Burkholderia gladioli	ATCC 10248,ATCC 33664 [[Pseudomonas cocovenenans]],ATCC:10248,ATCC:33664 [[Pseudomonas cocovenenans]],BCCM/LMG:11626 [[Pseudomonas cocovenenans]],BCCM/LMG:2216,CCUG 1782,CCUG:1782,CFBP 2427,CFBP:2427,CIP 105410,CIP:105410,DSM 11318 [[Pseudomonas cocovenenans]],DSM 4285,DSM:11318 [[Pseudomonas cocovenenans]],DSM:4285,HAMBI 2157,HAMBI:2157,ICMP 3950,ICMP:3950,IFO 13700,IFO:13700,JCM 9311,JCM:9311,LMG 11626 [[Pseudomonas cocovenenans]],LMG 2216,LMG:11626 [[Pseudomonas cocovenenans]],LMG:2216,NBRC 13700,NBRC:13700,NCCB 38018,NCCB:38018,NCIB 9898 [[Pseudomonas antimicrobica]],NCIB:9898 [[Pseudomonas antimicrobica]],NCIMB 9898,NCPPB 1891,NCPPB:1891,NCTC 12378,NCTC:12378,NRRL B-793,NRRL:B-793,culture-collection:NRRL:B:793	yes	241	3	3
Burkholderia glumae	ATCC 33617,ATCC:33617,BCCM/LMG:2196,CCUG 20835,CCUG:20835,CFBP 4900,CFBP:4900,CIP 106418,CIP:106418,DSM 9512,DSM:9512,ICMP 3655,ICMP:3655,LMG 2196,LMG:2196,NCPPB 2981,NCPPB:2981,NIAES 1169,NIAES:1169	yes	16	2	2
Burkholderia humptydooensis	ATCC BAA-2767,ATCC:BAA-2767,BCCM/LMG:29471,LMG 29471,LMG:29471,MSMB43,culture-collection:ATCC:BAA:2767	yes	3	0	0
Burkholderia insecticola	JCM 31142,JCM:31142,NCIMB 15023,NCIMB:15023,RPE64	yes	1	1	1
Burkholderia lata	383,ATCC 17760,ATCC:17760,BCCM/LMG:22485,CCUG 55525,CCUG:55525,LMG 22485,LMG:22485	yes	24	1	1
Burkholderia latens	BCCM/LMG:24064,CCUG 54555,CCUG:54555,DSM 23436,DSM:23436,FIRENZE 3,LMG 24064,LMG:24064,R-5630	yes	6	2	2
Burkholderia mallei	ATCC 23344,ATCC:23344,NCTC 12938,NCTC:12938	yes	83	2	2
Burkholderia metallica	AU0553,BCCM/LMG:24068,CCUG 54567,CCUG:54567,DSM 23519,DSM:23519,LMG 24068,LMG:24068,R-16017	yes	8	2	2
Burkholderia multivorans	ATCC BAA-247,ATCC:BAA-247,BCCM/LMG:13010,CCUG 34080,CCUG:34080,CIP 105495,CIP:105495,DSM 13243,DSM:13243,LMG 13010,LMG:13010,NCTC 13007,NCTC:13007,culture-collection:ATCC:BAA:247	yes	233	3	3
Burkholderia novacaledonica	BCCM/LMG:28615,CIP 110887,CIP:110887,LMG 28615,LMG:28615,STM10272	yes	1	1	1
Burkholderia oklahomensis	BCCM/LMG:23618,C6786,CCUG 51349,CCUG:51349,DSM 21774,DSM:21774,LMG 23618,LMG:23618,NCTC 13387,NCTC:13387	yes	9	5	5
Burkholderia paludis	DSM 100703,DSM:100703,MCCC 1K01245,MCCC:1K01245,MSh1	yes	3	1	1
Burkholderia plantarii	ATCC 43733,ATCC 51545 [[Burkholderia vandii Urakami et al. 1994]],ATCC:43733,ATCC:51545 [[Burkholderia vandii Urakami et al. 1994]],AZ 8201,BCCM/LMG:16020 [[Burkholderia vandii Urakami et al. 1994]],BCCM/LMG:9035,CFBP 3573,CFBP 3997,CFBP:3573,CFBP:3997,CIP 105769,CIP:105769,DSM 9509,DSM:9509,ICMP 9424,ICMP:9424,JCM 5492,JCM:5492,LMG 16020 [[Burkholderia vandii Urakami et al. 1994]],LMG 9035,LMG:16020 [[Burkholderia vandii Urakami et al. 1994]],LMG:9035,NCPPB 3590,NCPPB:3590,NIAES 1723,NIAES:1723	yes	5	2	2
Burkholderia pseudomallei	ATCC 23343,ATCC:23343,NCTC 12939,NCTC:12939,WRAIR 286	yes	1762	2	2
Burkholderia pseudomultivorans	BCCM/LMG:26883,CCUG 62895,CCUG:62895,LMG 26883,LMG:26883	yes	11	1	1
Burkholderia puraquae	BCCM/LMG:29660,CAMPA 1040,DSM 103137,DSM:103137,LMG 29660,LMG:29660	yes	2	2	2
Burkholderia pyrrocinia	ATCC 15958,ATCC:15958,BCCM/LMG:14191,CCUG 41877,CCUG:41877,CFBP 4794,CFBP:4794,CIP 105874,CIP:105874,DSM 10685,DSM:10685,LMG 14191,LMG:14191	yes	13	2	2
Burkholderia reimsis	BE51	yes	1	1	1
Burkholderia rinojensis	A396,NRRL B-50319,NRRL:B-50319,culture-collection:NRRL:B:50319	yes	0	0	0
Burkholderia seminalis	AU0475,BCCM/LMG:24067,CCUG 54564,CCUG:54564,DSM 23518,DSM:23518,LMG 24067,LMG:24067,R-24196	yes	8	2	2
Burkholderia singularis	BCCM/LMG:28154,CCUG 65685,CCUG:65685,LMG 28154,LMG:28154	yes	2	1	1
Burkholderia stabilis	ATCC BAA-67,ATCC:BAA-67,BCCM/LMG:14294,CCUG 34168,CCUG:34168,CIP 106845,CIP:106845,DSM 16586,DSM:16586,LMG 14294,LMG:14294,NCTC 13011,NCTC:13011,culture-collection:ATCC:BAA:67	yes	9	1	1
Burkholderia stagnalis	BCCM/LMG:28156,CCUG 65686,CCUG:65686,LMG 28156,LMG:28156	yes	105	3	3
Burkholderia territorii	BCCM/LMG:28158,CCUG 65687,CCUG:65687,FC1743,FC:1743,LMG 28158,LMG:28158,MSMB110,MSMB:110	yes	37	3	3
Burkholderia thailandensis	ATCC 700388,ATCC:700388,CCUG 48851,CCUG:48851,CIP 106301,CIP:106301,DSM 13276,DSM:13276,E264,NCTC 14210,NCTC:14210	yes	56	3	3
Burkholderia ubonensis	CCUG 48852,CCUG:48852,CIP 107078,CIP:107078,DSM 17311,DSM:17311,EY 3383,GTC P3-415,NCTC 13147,NCTC:13147	yes	309	0	0
Burkholderia ultramafica	BCCM/LMG:28614,CIP 110886,CIP:110886,LMG 28614,LMG:28614,STM10279	yes	1	1	1
Burkholderia vietnamiensis	ATCC BAA-248,ATCC:BAA-248,BCCM/LMG:10929,CCUG 34169,CCUG:34169,CFBP 4796,CFBP:4796,CIP 105875,CIP:105875,DSM 11319,DSM:11319,JCM 10562,JCM:10562,LMG 10929,LMG:10929,TVV75,culture-collection:ATCC:BAA:248	yes	88	2	2
Buttiauxella agrestis	ATCC 33320,ATCC:33320,BCCM/LMG:7861,CDC 1176-81,CDC:1176-81,CIP 80.31,CIP:80.31,CUETM 77-167,CUETM:77-167,DSM 4586,DSM:4586,Gavini F-44,JCM 1090,JCM:1090,LMG 7861,LMG:7861,NCTC 12119,NCTC:12119	yes	4	2	2
Buttiauxella brennerae	ATCC 51605,ATCC:51605,CCUG 35509,CCUG:35509,CIP 106477,CIP:106477,DSM 9396,DSM:9396,S1/6-571	yes	1	1	1
Buttiauxella ferragutiae	ATCC 51602,ATCC:51602,CDC 1180-81,CDC:1180-81,CIP 106355,CIP:106355,CUETM 78-31,CUETM:78-31,DSM 9390,DSM:9390	yes	1	1	1
Buttiauxella gaviniae	ATCC 51604,ATCC:51604,CCUG 35508,CCUG:35508,CIP 106356,CIP:106356,DSM 9393,DSM:9393,S1/1-984	yes	1	1	1
Buttiauxella izardii	ATCC 51606,ATCC:51606,CCUG 35510,CCUG:35510,CIP 106357,CIP:106357,DSM 9397,DSM:9397,S3/2-161	yes	1	1	1
Buttiauxella noackiae	ATCC 51607,ATCC:51607,CCUG 35511,CCUG:35511,CIP 106358,CIP:106358,DSM 9401,DSM:9401,NSW 11	yes	2	1	1
Buttiauxella warmboldiae	ATCC 51608,ATCC:51608,CCUG 35512,CCUG:35512,CIP 106359,CIP:106359,DSM 9404,DSM:9404,NSW 326	yes	1	1	1
Butyratibacter algicola	B15,KCTC 52552,KCTC:52552,MCCC 1K03221,MCCC:1K03221	yes	0	0	0
Butyricicoccus faecihominis	DSM 100989,DSM:100989,JCM 31056,JCM:31056,KS-2,YIT 12789,YIT:12789	yes	1	1	1
Butyricicoccus porcorum	ATCC TSD-102,ATCC:TSD-102,BB10,DSM 104997,DSM:104997,culture-collection:ATCC:TSD:102	yes	1	1	1
Butyricicoccus pullicaecorum	25-3,BCCM/LMG:24109,CCUG 55265,CCUG:55265,DSM 23266,DSM:23266,LMG 24109,LMG:24109	yes	6	1	1
Butyricimonas faecalis	DSM:106867,H184,LMG:30602	yes	2	2	2
Butyricimonas faecihominis	180-3,CCUG 65562,CCUG:65562,DSM 105721,DSM:105721,JCM 18676,JCM:18676	yes	4	3	3
Butyricimonas paravirosa	214-4,CCUG 65563,CCUG:65563,DSM 105722,DSM:105722,JCM 18677,JCM:18677	yes	2	2	2
Butyricimonas phoceensis	AT9,CSUR 2478,CSUR:2478,DSM 100838,DSM:100838	yes	0	0	0
Butyricimonas synergistica	CCUG 56610,CCUG:56610,DSM 23225,DSM:23225,JCM 15148,JCM:15148,MT01	yes	3	1	1
Butyricimonas vaginalis	CSUR P4593,CSUR:P4593,Marseille-P4593	yes	0	0	0
Butyricimonas virosa	CCUG 56611,CCUG:56611,DSM 23226,DSM:23226,JCM 15149,JCM:15149,MT12	yes	10	1	1
Butyrivibrio crossotus	ATCC 29175,ATCC:29175,DSM 2876,DSM:2876,VPI T9-40A	yes	4	1	1
Butyrivibrio fibrisolvens	ATCC 19171,ATCC:19171,DSM 3071,DSM:3071	yes	11	1	1
Butyrivibrio hungatei	ATCC BAA-456,ATCC:BAA-456,DSM 14810,DSM:14810,JK 615,culture-collection:ATCC:BAA:456	yes	4	1	1
Butyrivibrio proteoclasticus	ATCC 51982,ATCC:51982,B316,DSM 14932,DSM:14932	yes	4	1	1
Byssovorax cruenta	By c2,CIP 108850,CIP:108850,DSM 14553,DSM:14553,JCM 12614,JCM:12614	yes	1	0	0
Bythopirellula goksoyri	Pr1d	yes	1	1	1
Caballeronia arationis	BCCM/LMG:29324,CCUG 68405,CCUG:68405,LMG 29324,LMG:29324	yes	2	1	1
Caballeronia arvi	BCCM/LMG:29317,CCUG 68412,CCUG:68412,LMG 29317,LMG:29317,MAN34	yes	1	1	1
Caballeronia calidae	BCCM/LMG:29321,CCUG 68408,CCUG:68408,LMG 29321,LMG:29321	yes	1	1	1
Caballeronia catudaia	BCCM/LMG:29318,CCUG 68411,CCUG:68411,LMG 29318,LMG:29318	yes	1	1	1
Caballeronia choica	BCCM/LMG:22940,CCUG 63063,CCUG:63063,LMG 22940,LMG:22940,RA1-8	yes	1	1	1
Caballeronia concitans	AU12121,BCCM/LMG:29315,CCUG 68414,CCUG:68414,LMG 29315,LMG:29315	yes	1	1	1
Caballeronia cordobensis	BCCM/LMG:27620,CCUG 64368,CCUG:64368,LMG 27620,LMG:27620,MMP81,R-50210	yes	2	2	2
Caballeronia fortuita	BCCM/LMG:29320,CCUG 68409,CCUG:68409,LMG 29320,LMG:29320	yes	1	1	1
Caballeronia ginsengisoli	BCCM/LMG:30326,Gsoil 652,KACC 19441,KACC:19441,LMG 30326,LMG:30326,collector:Gsoil:652	yes	0	0	0
